id,grupo,periodo,valor_real,probabilidad,modalidad,semestre,asistencia_pct,promedio_academico
EST-01254,Administracion,2025-1,0,0.0481910609655055,Virtual,7,100.0,4.96
EST-00250,Ingenieria de Sistemas,2026-1,0,0.514668636687249,Virtual,6,90.7,5.0
EST-00459,Administracion,2026-2,0,0.1995650630173387,Virtual,4,92.5,5.0
EST-01228,Diseno Visual,2026-2,0,0.4604375585422722,Virtual,7,76.1,3.83
EST-01078,Ciencia de Datos,2025-2,1,0.5856445456780197,Hibrida,1,74.8,4.54
EST-00679,Marketing Digital,2024-2,1,0.8276920983852057,Presencial,1,73.1,3.6
EST-00096,Ingenieria de Sistemas,2025-1,1,0.6793988296087046,Presencial,8,65.1,4.19
EST-01453,Ciencia de Datos,2025-2,0,0.3786353987958811,Presencial,5,83.6,4.15
EST-01050,Ingenieria de Sistemas,2026-1,0,0.4219818938921119,Hibrida,5,80.9,4.83
EST-00563,Marketing Digital,2026-2,0,0.5862596970163133,Virtual,1,83.7,5.0
EST-00267,Diseno Visual,2024-2,0,0.7185556990043318,Presencial,7,62.6,4.68
EST-01440,Ingenieria de Sistemas,2026-1,0,0.1702829563533001,Virtual,5,100.0,5.0
EST-00606,Ingenieria de Sistemas,2024-1,0,0.6058321583867287,Presencial,8,77.6,4.71
EST-00134,Administracion,2025-2,0,0.3856112515816427,Virtual,1,90.8,4.94
EST-00543,Diseno Visual,2025-2,0,0.1941422366726573,Virtual,4,82.1,3.76
EST-01284,Ciencia de Datos,2024-2,0,0.2486473981163387,Hibrida,4,93.8,4.75
EST-00763,Ciencia de Datos,2025-2,0,0.4331240703789908,Presencial,2,81.8,4.78
EST-00822,Diseno Visual,2026-1,0,0.546784517397001,Hibrida,3,71.0,4.4
EST-01187,Marketing Digital,2026-2,0,0.5279757589691586,Presencial,1,76.9,4.45
EST-00183,Ingenieria de Sistemas,2024-1,0,0.4044820173579644,Virtual,1,89.2,4.47
EST-00765,Marketing Digital,2026-2,0,0.4661787089987651,Virtual,4,77.3,5.0
EST-00733,Diseno Visual,2024-2,0,0.5007671721005866,Presencial,3,84.8,5.0
EST-00456,Ingenieria de Sistemas,2025-2,0,0.3707663893146248,Presencial,7,83.9,5.0
EST-00821,Ciencia de Datos,2025-2,0,0.1755422451662496,Presencial,4,93.0,5.0
EST-00180,Ciencia de Datos,2025-2,0,0.1601495577234775,Hibrida,7,87.3,4.96
EST-00874,Ingenieria de Sistemas,2026-1,1,0.7386873227363063,Hibrida,3,68.0,4.04
EST-00630,Marketing Digital,2024-1,1,0.5933866811539077,Presencial,1,74.1,5.0
EST-01371,Ingenieria de Sistemas,2025-2,0,0.3875871338023109,Virtual,6,78.9,4.04
EST-00926,Ciencia de Datos,2025-1,1,0.5516283638784617,Hibrida,4,82.8,5.0
EST-01372,Administracion,2025-2,0,0.1826326802789714,Presencial,1,97.9,5.0
EST-00787,Marketing Digital,2026-2,0,0.0611795838877054,Virtual,8,95.8,5.0
EST-00352,Ciencia de Datos,2026-1,0,0.818106611463959,Virtual,7,69.2,3.94
EST-01199,Administracion,2026-1,1,0.8535034589456012,Virtual,7,63.8,4.03
EST-00002,Ingenieria de Sistemas,2025-2,0,0.1997063585096372,Virtual,8,84.1,4.49
EST-00961,Diseno Visual,2026-1,0,0.4362982491738946,Virtual,2,81.7,4.76
EST-00263,Ciencia de Datos,2026-2,0,0.4582292784210491,Presencial,8,74.4,4.1
EST-01290,Administracion,2025-1,0,0.2400653323415782,Presencial,4,95.4,4.79
EST-00028,Diseno Visual,2024-1,0,0.4982342032677195,Hibrida,4,89.1,4.91
EST-01155,Ingenieria de Sistemas,2025-1,0,0.4274017491529405,Presencial,5,77.3,4.68
EST-00057,Marketing Digital,2025-1,0,0.5229212560976141,Presencial,5,72.3,3.68
EST-00153,Marketing Digital,2026-2,0,0.4003539225342887,Presencial,6,82.4,4.43
EST-00604,Administracion,2024-1,0,0.1000072477695356,Presencial,8,100.0,4.9
EST-00138,Administracion,2024-2,1,0.6567454510180432,Hibrida,3,76.3,3.43
EST-01086,Ingenieria de Sistemas,2025-1,0,0.3755990990366076,Hibrida,7,91.6,4.47
EST-00719,Administracion,2024-1,1,0.7421046054681506,Presencial,7,66.9,4.1
EST-01296,Diseno Visual,2025-2,0,0.198481444367443,Presencial,6,100.0,5.0
EST-00190,Marketing Digital,2025-2,1,0.5120785140328641,Presencial,2,73.8,4.98
EST-01384,Marketing Digital,2025-1,0,0.2192000134135858,Virtual,3,87.1,4.36
EST-00019,Administracion,2026-2,0,0.1549699111156959,Presencial,5,100.0,5.0
EST-00015,Ingenieria de Sistemas,2026-2,0,0.4475740265235048,Hibrida,6,79.4,4.52
EST-00912,Administracion,2026-1,0,0.1978385808215328,Virtual,7,94.5,5.0
EST-01411,Ingenieria de Sistemas,2026-2,0,0.384321666676296,Presencial,8,76.7,5.0
EST-00197,Administracion,2024-1,0,0.1740085479030785,Presencial,8,96.9,5.0
EST-00262,Marketing Digital,2026-1,1,0.8979824879010712,Hibrida,4,70.6,3.99
EST-00065,Ingenieria de Sistemas,2024-1,1,0.9370490685947708,Hibrida,6,66.6,3.98
EST-01154,Administracion,2024-1,0,0.4642963273570579,Hibrida,2,71.0,4.25
EST-00314,Administracion,2026-2,0,0.4533105943052609,Presencial,2,86.6,4.62
EST-00620,Ciencia de Datos,2026-1,0,0.2085922272445583,Presencial,4,82.6,4.57
EST-00255,Ingenieria de Sistemas,2026-2,0,0.317568277517926,Virtual,8,82.2,3.86
EST-00975,Marketing Digital,2025-1,0,0.1175039811832293,Virtual,6,100.0,5.0
EST-00964,Ingenieria de Sistemas,2025-2,0,0.8583046914864705,Presencial,6,70.7,4.4
EST-01165,Ingenieria de Sistemas,2024-2,1,0.3199778118665414,Hibrida,3,76.0,5.0
EST-00550,Administracion,2026-2,1,0.6323488701996655,Presencial,5,76.2,4.77
EST-00464,Ingenieria de Sistemas,2025-1,0,0.2122480407202418,Presencial,8,97.4,4.38
EST-01320,Administracion,2026-2,0,0.4917669550439769,Virtual,6,80.5,4.52
EST-00916,Marketing Digital,2026-1,0,0.6595522716349909,Presencial,8,75.2,4.18
EST-01434,Diseno Visual,2026-1,0,0.1096431648050247,Virtual,1,96.6,5.0
EST-00410,Diseno Visual,2026-2,0,0.2734090271560455,Presencial,5,92.7,4.72
EST-01377,Marketing Digital,2026-2,0,0.0906076574665192,Presencial,1,96.9,5.0
EST-01467,Administracion,2024-1,0,0.5515819095461855,Presencial,2,90.7,4.7
EST-01299,Marketing Digital,2025-2,1,0.7757438238127944,Presencial,1,76.1,4.78
EST-01249,Diseno Visual,2024-2,0,0.3624116761479574,Virtual,3,93.5,4.56
EST-00643,Ciencia de Datos,2025-1,0,0.188869435221555,Presencial,2,88.8,5.0
EST-01170,Diseno Visual,2026-2,0,0.2647549255001326,Hibrida,7,81.4,5.0
EST-00191,Marketing Digital,2026-1,0,0.0984427114473048,Presencial,5,100.0,5.0
EST-00332,Diseno Visual,2026-1,0,0.2541426372914817,Presencial,2,89.5,5.0
EST-01164,Administracion,2026-1,1,0.3433580798219532,Presencial,7,78.1,5.0
EST-01032,Ingenieria de Sistemas,2024-1,1,0.9125100607521676,Hibrida,7,83.8,3.44
EST-00128,Diseno Visual,2024-1,0,0.2825141642402204,Virtual,3,78.6,4.98
EST-00669,Administracion,2024-2,0,0.4643357892086837,Presencial,4,75.4,4.79
EST-00208,Ciencia de Datos,2026-2,0,0.100229010178155,Hibrida,1,96.3,4.79
EST-00215,Administracion,2025-2,0,0.6419643577814093,Virtual,1,74.6,4.91
EST-00727,Ingenieria de Sistemas,2026-1,0,0.4648875865169048,Presencial,5,80.7,4.57
EST-00323,Marketing Digital,2024-1,0,0.4752224404494036,Presencial,3,79.5,4.62
EST-00561,Ciencia de Datos,2025-1,0,0.6433442863073755,Hibrida,1,74.0,4.6
EST-00932,Ciencia de Datos,2024-1,0,0.1619363595257059,Presencial,8,94.6,5.0
EST-00048,Diseno Visual,2026-2,0,0.4458777642886078,Presencial,8,89.5,5.0
EST-01475,Diseno Visual,2024-2,0,0.3521827825614058,Presencial,6,83.3,4.49
EST-01336,Ingenieria de Sistemas,2024-2,0,0.2217262559801143,Hibrida,8,83.4,4.61
EST-01017,Ciencia de Datos,2026-1,0,0.6758568297764032,Virtual,4,66.5,4.41
EST-00927,Ciencia de Datos,2026-1,0,0.3788938247221394,Presencial,3,97.9,4.52
EST-00283,Marketing Digital,2025-1,0,0.8145395067930989,Virtual,4,67.5,4.0
EST-01225,Ingenieria de Sistemas,2026-1,0,0.4089789135444087,Presencial,7,87.9,4.25
EST-00405,Marketing Digital,2024-2,0,0.3222648057549139,Presencial,3,80.0,5.0
EST-01410,Ciencia de Datos,2025-1,0,0.4595878241292546,Presencial,5,79.4,4.3
EST-00465,Ciencia de Datos,2025-2,0,0.1535768511125053,Virtual,3,95.2,5.0
EST-01315,Marketing Digital,2026-2,0,0.2916127490051639,Virtual,1,76.7,4.15
EST-00218,Ingenieria de Sistemas,2024-2,0,0.3010081144823819,Presencial,3,89.0,4.51
EST-00170,Administracion,2024-1,1,0.5896282633297746,Presencial,7,74.1,3.81
EST-01496,Administracion,2025-1,0,0.6141910289584749,Presencial,6,74.1,4.16
EST-00288,Marketing Digital,2025-2,0,0.1302624891213756,Hibrida,7,84.7,5.0
EST-00815,Diseno Visual,2026-2,0,0.269682689079257,Presencial,4,88.2,5.0
EST-01018,Administracion,2025-1,1,0.5958732520990926,Virtual,6,65.8,4.86
EST-00945,Diseno Visual,2025-2,0,0.2578226864284635,Presencial,2,86.2,5.0
EST-00063,Diseno Visual,2025-2,1,0.9641840667205248,Virtual,1,60.8,3.3
EST-00009,Marketing Digital,2025-1,0,0.0400368026638753,Virtual,6,100.0,5.0
EST-01393,Administracion,2024-2,0,0.1932528255515948,Presencial,4,90.6,5.0
EST-00532,Ciencia de Datos,2024-1,1,0.5721618351021717,Virtual,1,79.6,4.3
EST-00687,Ingenieria de Sistemas,2024-1,1,0.8921045251794362,Presencial,8,63.5,4.47
EST-01438,Marketing Digital,2024-1,1,0.4171598339474709,Presencial,2,87.7,5.0
EST-00710,Ingenieria de Sistemas,2024-2,0,0.5291163455795538,Virtual,8,74.5,4.81
EST-00790,Marketing Digital,2025-1,0,0.8261680186713634,Virtual,1,53.8,3.91
EST-00649,Administracion,2025-1,0,0.5004675960937687,Presencial,4,76.9,4.7
EST-01274,Marketing Digital,2025-2,0,0.2968288679951402,Virtual,3,88.5,4.81
EST-00034,Ingenieria de Sistemas,2026-2,0,0.1224380779691646,Presencial,4,96.1,5.0
EST-00499,Ciencia de Datos,2024-1,0,0.0483122766836906,Virtual,5,99.3,5.0
EST-01369,Ciencia de Datos,2025-1,0,0.2174164386506554,Presencial,3,92.4,5.0
EST-01068,Ciencia de Datos,2025-2,0,0.1535704211720443,Presencial,8,90.0,4.82
EST-00040,Marketing Digital,2026-2,1,0.7970232791746857,Presencial,3,71.0,4.59
EST-01105,Marketing Digital,2024-2,0,0.6693723713104324,Presencial,1,78.4,4.55
EST-01280,Administracion,2026-2,1,0.7559595375185558,Presencial,7,70.3,4.95
EST-00994,Ciencia de Datos,2026-2,0,0.2457176859617959,Presencial,1,84.7,5.0
EST-00596,Ciencia de Datos,2025-2,0,0.6632421563490658,Virtual,5,78.1,4.18
EST-01489,Administracion,2026-1,0,0.5937973965098118,Virtual,2,69.9,4.23
EST-00671,Ciencia de Datos,2026-1,0,0.3087132682521623,Hibrida,8,85.7,4.55
EST-00328,Administracion,2025-1,0,0.4078224290110129,Hibrida,3,79.1,4.95
EST-00238,Ciencia de Datos,2025-2,0,0.1735507068415819,Presencial,8,84.4,4.46
EST-00672,Ciencia de Datos,2025-2,0,0.2034417049860022,Virtual,8,88.8,4.11
EST-00225,Administracion,2024-1,0,0.1675448376981326,Virtual,4,86.5,3.52
EST-00616,Ingenieria de Sistemas,2024-2,0,0.1767038986554767,Hibrida,5,83.2,4.98
EST-00535,Administracion,2025-2,0,0.5658664426803007,Presencial,8,80.9,4.3
EST-00443,Diseno Visual,2026-1,0,0.1770888147338069,Presencial,3,100.0,4.89
EST-00142,Administracion,2024-1,0,0.2872934517388051,Virtual,4,83.4,4.77
EST-01208,Diseno Visual,2026-2,0,0.2585908342339067,Presencial,2,96.2,5.0
EST-00402,Diseno Visual,2026-2,1,0.7841862633307504,Presencial,2,73.1,3.86
EST-00892,Administracion,2024-1,0,0.1142904043621853,Virtual,7,95.1,4.52
EST-01293,Administracion,2025-2,0,0.125521687183358,Virtual,7,94.4,5.0
EST-00673,Marketing Digital,2026-1,0,0.2229240631744944,Presencial,7,83.5,4.64
EST-00949,Marketing Digital,2025-2,0,0.2152047295019413,Virtual,3,86.8,5.0
EST-00038,Ingenieria de Sistemas,2025-1,0,0.3073974003590724,Presencial,7,86.8,5.0
EST-00816,Marketing Digital,2024-1,0,0.4344102199369438,Virtual,7,85.0,4.6
EST-00766,Marketing Digital,2024-2,0,0.338537600792838,Presencial,2,97.3,5.0
EST-00846,Administracion,2025-2,0,0.1161254437639271,Virtual,1,100.0,4.46
EST-00481,Administracion,2026-1,0,0.2157588655615824,Presencial,6,82.4,5.0
EST-00953,Ingenieria de Sistemas,2026-2,0,0.50556203222928,Presencial,3,83.1,4.0
EST-00855,Ingenieria de Sistemas,2026-1,1,0.9948999619544998,Presencial,3,57.1,3.18
EST-00018,Administracion,2025-2,0,0.1091407893579708,Presencial,3,100.0,4.96
EST-00115,Ingenieria de Sistemas,2025-2,0,0.1593465184325285,Presencial,1,95.6,5.0
EST-00395,Administracion,2026-1,0,0.1875292643930184,Virtual,6,84.6,4.59
EST-00489,Administracion,2026-2,1,0.5097548636293765,Virtual,1,76.1,3.58
EST-01005,Administracion,2025-2,0,0.2934808070782683,Presencial,3,82.1,4.93
EST-01413,Administracion,2026-2,0,0.4074780621917394,Virtual,3,85.8,5.0
EST-00610,Diseno Visual,2025-1,0,0.272066374067357,Hibrida,4,99.8,5.0
EST-01062,Ingenieria de Sistemas,2025-2,0,0.3256334303750163,Virtual,3,80.4,3.8
